issue_num,datetime,body,login,mention_login
164,2017-01-07 01:44:10,"@ryanolsonk I love the idea of extending the `FLEXHierarchyItem` to be a protocol, such that any framework can support hierarchy inspection. There is a caveat, however, where I've extended FLEX to jump between view and node hierarchies based on some heuristic rules for the entire picture to be visible in the explorer. If FLEX were to be opened up to support multiple frameworks, we'd have to figure out how to support custom traces of the hierarchy in a meaningful way — likely just push that responsibility down to the individual framework implementing support.

I haven't had much time to look at this since I've put it up, but happy to continue the dialog with you to figure out where to take this. In the meantime, we've started using my branch internally at Pinterest and it's working great. Excited to provide the support to others in the near future.

Also, screenshots soon.",levi,ryanolsonk
164,2017-01-18 19:44:07,"Thanks for the review, @ryanolsonk. I'll take a look at fixing this up in the next week and will get back to you.",levi,ryanolsonk
164,2017-02-08 23:58:48,@ryanolsonk finally found some time to fix up the issues in this diff. Going to do a test pass on my side this week to identify remaining issues. Is this something you'd like to land?,levi,ryanolsonk
119,2017-01-31 17:46:03,@ryanolsonk Did you or anyone ever implement the locking on `master`? Trying to see *Objects referencing this object* crashes 100% of the time in certain apps like Twitter,NSExceptional,ryanolsonk
115,2016-03-17 06:53:12,"It works on my Xcode 7.2.1 and iPhone 6S simulator. Just like @ryanolsonk said, 

For peeking,
You need to move a bit of your mouse cursor to let it work while holding Shift + Command, **not** Command + Control + Shift.

For Popping,
While holding Shift + Command during peeking, press Control 3 times to pop out. I think 3 times means the hardest force applied, as the document stated, each key contributes 1/3 of maximum possible force.
",felixwcf,ryanolsonk
113,2016-02-28 15:36:44,"Thanks @ryanolsonk , that would be great.
Went with the `[[FLEXManager sharedManager] setSimulatorShortcutsEnabled:NO];` fix in the meantime.
",orenco82,ryanolsonk
111,2016-02-23 13:31:24,"Hi @TimOliver! That fixes crash, thanks! :)
",khoren93,TimOliver
105,2016-02-14 23:27:27,"Great point @nin9tyfour. Making this fully dynamic will definitely make it messier, but I can see the advantage of making it work with realm independent of whether it's built with realm. There are other places in this codebase where I've taken _interesting_ approaches to support everything inside a dylib (e.g. the toolbar icons).

I'll defer to what ever @TimOliver thinks is best here.
",ryanolsonk,TimOliver
105,2016-02-14 23:27:27,"Great point @nin9tyfour. Making this fully dynamic will definitely make it messier, but I can see the advantage of making it work with realm independent of whether it's built with realm. There are other places in this codebase where I've taken _interesting_ approaches to support everything inside a dylib (e.g. the toolbar icons).

I'll defer to what ever @TimOliver thinks is best here.
",ryanolsonk,nin9tyfour
105,2016-02-16 11:32:33,"Thanks a lot for the feedback @ryanolsonk and sorry for the late reply!

Yeah, I was originally hoping to do it like @nin9tyfour suggested. It would be very cool if the integration of Realm could be fully dynamic so that the functionality was available if Realm itself was detected at runtime.

I initially had a very quick play with it, but I couldn't get it to compile. I've never really played with weak linking a framework to that degree before, so I wasn't sure how much extra work it would actually entail.

I'm certainly happy to try and make it dynamic if you have any tips on how to go about doing it. I was wondering if it would have actually meant needing to import all of Realm's headers into the FLEX project.

Also, yep! I can provide a demo Realm file and class if you'd like some test data for the example app!

In any case, thanks for the feedback! I'll add those code changes and report back here. Time providing, I might also see about having another play with making Realm dynamic too!
",TimOliver,ryanolsonk
105,2016-02-16 11:32:33,"Thanks a lot for the feedback @ryanolsonk and sorry for the late reply!

Yeah, I was originally hoping to do it like @nin9tyfour suggested. It would be very cool if the integration of Realm could be fully dynamic so that the functionality was available if Realm itself was detected at runtime.

I initially had a very quick play with it, but I couldn't get it to compile. I've never really played with weak linking a framework to that degree before, so I wasn't sure how much extra work it would actually entail.

I'm certainly happy to try and make it dynamic if you have any tips on how to go about doing it. I was wondering if it would have actually meant needing to import all of Realm's headers into the FLEX project.

Also, yep! I can provide a demo Realm file and class if you'd like some test data for the example app!

In any case, thanks for the feedback! I'll add those code changes and report back here. Time providing, I might also see about having another play with making Realm dynamic too!
",TimOliver,nin9tyfour
104,2016-01-30 23:13:35,"Thanks for making this more permissive, @dcreemer 
",ryanolsonk,dcreemer
100,2016-02-09 06:35:57,"Greetings everyone! Crazily enough, I actually had the same idea and came here to discover someone had already beaten me to suggesting it!

This was something I also wanted to see in FLEX (I use it quite a lot to debug one of my side project apps), so I took the time last weekend to add Realm integration and just pushed it as a PR: https://github.com/Flipboard/FLEX/pull/105

I was also very wary, as @nin9tyfour pointed out that requiring Realm as an explicitly-included dependency would be terrible. So the code is presented in an optional macro that is only included if the Realm framework is present in the project itself when FLEX is built.

In any case, let me know if you have any queries about it.

**Full Disclosure:** I am an employee of Realm (My main project is the Realm Browser), but as we are not presently in a position to offer official support for third party Realm integrations, I'm providing this as an unofficial project. I'm happy to assist with any queries in my spare time. :)
",TimOliver,nin9tyfour
100,2016-02-13 16:38:59,"@TimOliver That's great! Thanks for your work!
",xilin,TimOliver
100,2016-02-21 16:28:04,"@TimOliver Thanks:)
",khoren93,TimOliver
92,2015-12-02 03:10:08,"@ryanolsonk I notice that when present, the keyWindow changed. so I add a method `dismissPreviousPresentViewController` to solve this issue.
",WangHengHeng,ryanolsonk
91,2016-03-21 12:25:22,"Hi, privatly I implemented persistence of network history by using [PINCache](https://github.com/pinterest/PINCache). Moreover I implemented a whitelist which is an array of host that will be recorded.

@ryanolsonk do you think this kind of solution with additional dependency is something acceptable by you? 
",aleksandergrzyb,ryanolsonk
76,2015-09-03 21:49:38,"LGTM, thank you for doing this @ryanolsonk! Looking forward to eliminating these warnings in Flipboard.
",timonus,ryanolsonk
73,2015-09-04 20:52:55,"@ryanolsonk actually, I don't believe https://github.com/Flipboard/FLEX/pull/76 resolves this. I'm still seeing [this](https://github.com/Flipboard/FLEX/blob/master/Classes/Network/PonyDebugger/FLEXNetworkObserver.m#L870) unused `typedef` on master.
",timonus,ryanolsonk
70,2015-07-07 07:01:38,"@ryanolsonk I edited the title, it is C++ Exception breakpoint. But this is the first time I got this
",onmyway133,ryanolsonk
58,2015-04-13 22:45:14,"@ryanolsonk that correct, i'll like cocoalumberjack console output to be presented in Flex system log... i'll try your approach  
",shams-ahmed,ryanolsonk
52,2015-03-13 23:50:38,"Hey @DaidoujiChen 

The `?` type encoding means ""unknown type"" (see https://developer.apple.com/library/mac/#documentation/Cocoa/Conceptual/ObjCRuntimeGuide/Articles/ocrtTypeEncodings.html)

It looks like the the original type encoding in this case was `^?`, or pointer to unknown type. Have you seen this on any methods that exist in public headers? I'm guessing the parameter is some kind of block.
",ryanolsonk,DaidoujiChen
52,2015-03-14 01:55:16,"Hello @ryanolsonk,

The original type encoding in this case is `@?` not `^?`.



`@?` -> `(? *)` wrong!

`@""UIView""` -> `(UIView *)` correct!

Yes, `(? *)` also found in public method like `transitionFromView:toView:duration:options:completion:`
![ios simulator screen shot 2015 3 14 9 44 52](https://cloud.githubusercontent.com/assets/670441/6649803/89a2e806-ca2f-11e4-97a7-ff8972b8f414.png)

I refer to https://github.com/JaviSoto/iOS8-Runtime-Headers, it seems like declared `@?` to `id` type.
",DaidoujiChen,ryanolsonk
52,2015-03-26 06:17:48,"Finally made this change (48826e2160db73e8ad5b2a14d901293e1e55edeb). Thanks for finding it @DaidoujiChen.
",ryanolsonk,DaidoujiChen
52,2015-03-27 13:05:15,":+1:  thanks @ryanolsonk 
",DaidoujiChen,ryanolsonk
49,2015-03-19 03:30:42,"@nin9tyfour  great,It's a nice way to my problem,i'll try it
",nonstriater,nin9tyfour
48,2015-03-04 05:19:19,"Hey @DaidoujiChen,

Seems like a nice improvement! I was a little concerned that checking `isValidJSONData:` would be slow, but I did some profiling and it looks fine. I left one comment about a check I think we should leave in, but otherwise it looks good!
",ryanolsonk,DaidoujiChen
48,2015-03-04 07:17:27,"Hello @ryanolsonk,

I am rollback the method `prettyJSONStringFromData:`.
",DaidoujiChen,ryanolsonk
48,2015-03-04 17:34:38,":+1: thanks @DaidoujiChen !
",ryanolsonk,DaidoujiChen
