issue_num,datetime,body,login,mention_login
8550,2017-03-02 20:09:42,@coordinate despite this not being valid it is actually working as intended. Controlgroups are display block by default and therefor 100% width if you would like to center using the align attribute you cant use block elements and will need to set the controlgroup to be `inline-block` ,arschmitz,coordinate
8546,2017-01-08 16:56:37,@JimHapenney Yes it is fully compatible with jQuery 3.x,arschmitz,JimHapenney
8546,2017-01-08 21:04:05,"I'm very glad to see these updates! The jQuery Mobile framework is a very important part of our development stack. While other mobile frameworks often impose their own strict rules and convention, JQM is wonderfully flexible and versatile. +1 to @vincedan ""we need this framework alive"".",ElliotNB,vincedan
8546,2017-01-11 12:50:22,@deblocker we fixed several hundred issues during the 1.5 development cycle reducing the issue count to its lowest point since before 1.0,arschmitz,deblocker
8546,2017-02-14 05:02:57,"I second what @fgarzonhz has said. The jQuery Mobile project needs some kind of blog update or announcement . Otherwise people will continue to assume that jQuery Mobile is dead or very close to it.

We love jQuery Mobile and want to see it continue to thrive! Thank you all for your efforts! @arschmitz @jaspermdegroot ",ElliotNB,fgarzonhz
8546,2017-02-14 05:02:57,"I second what @fgarzonhz has said. The jQuery Mobile project needs some kind of blog update or announcement . Otherwise people will continue to assume that jQuery Mobile is dead or very close to it.

We love jQuery Mobile and want to see it continue to thrive! Thank you all for your efforts! @arschmitz @jaspermdegroot ",ElliotNB,arschmitz
8546,2017-02-16 19:25:04,Hey folks. I'm not @arschmitz or @jaspermdegroot (obviously) but I'm a member of the team.  We have done a ton of work over the last year or so for 1.5. Lately with everyone's day jobs it has been hard to even coordinate a weekly meeting to update everyone on the status of the project so we know how to move forward with the release. This happens with a volunteer workforce that is distributed around the planet. Hopefully we can have more info and a blog post soon.  ,cgack,arschmitz
8546,2017-02-25 13:16:14,@vankampenp Yes we will add that the changelog is generated from commits and there was no specific commit for that so it was missed thank you,arschmitz,vankampenp
8546,2017-03-03 10:46:27,"@SuhniCalifornia  jq mobile is an open source framework, developed by people who have other professional business to do. If you are ungrateful or dissatisfied you can choose to stay away from the community",DropkickSteve,SuhniCalifornia
8546,2017-03-27 17:50:23,How are things coming along @arschmitz ?,ElliotNB,arschmitz
8546,2017-03-27 19:02:41,"@DropkickSteve 
re:  jq mobile is an open source framework, developed by people who have other professional business to do. If you are ungrateful or dissatisfied you can choose to stay away from the community

i stand by my comment & honest expression regarding the progress of this project
best of luck & maybe another team will come to the rescue
sometimes it is wise to admit when you are in over your head
time has taught me that much
so with much sadness
consider me gone
",SuhniCalifornia,DropkickSteve
