issue_num,datetime,body,login,mention_login
629,2017-03-21 18:34:22,"This is great, thanks @sblackshear! ",jsachs,sblackshear
623,2017-03-20 12:20:40,"@cristianoc Done, sent PR",riyaz,cristianoc
623,2017-03-20 16:16:14,"@peterogithub Not yet, now that we have faster build will include more analyzers, thanks for your inputs. ",riyaz,peterogithub
622,2017-03-15 18:20:55,"@cristianoc Yes, I got the expected behavior using integers. The first one looks more like a bug now.",Linhao87,cristianoc
621,2017-03-19 13:33:26,"@jvillard, I have formatted my desc and comment, hope it will help make more sense. :-)

> AndroidJD-Lib/src/com/jingdong/common/entity/FilterBrand.java:170: error: NULL_DEREFERENCE
  object jsonArray last assigned on line 169 could be null and is dereferenced by call to getAlphabetList(...) at line 170


And getAlphabetList is defined as below
",carozuoP,jvillard
620,2017-03-14 09:47:05,"@cristianoc 
After excuting the following command, still the index.txt file is empty. 

`cat ./index.txt
app/src/main/java/infer/inferandroidexample/MainActivity.java`

But index.txt should include the file path right?",mohammedsafiq,cristianoc
610,2017-03-21 09:38:15,"Hi, @jvillard I tried with the new commit as well. I'm still facing the same issue for building the clang. Any suggestions on this please",shreyasmrs,jvillard
608,2017-03-08 05:47:00,"I was inside examples folder(tried ""infer -- javac Hello.java"") and this issue happened and now I came out of examples folder(tried ""infer -- javac examples/Hello.java"") its working fine.

Thanks @jvillard ",shreyasmrs,jvillard
598,2017-03-02 14:30:57,Thanks @benhuds :),jvillard,benhuds
597,2017-03-23 18:26:19,@jvillard are there plans to cut a new Infer release? I'll update the PR as soon as that happens.,3flex,jvillard
596,2017-03-06 08:40:13,"@cristianoc ,I have another question if the two builds are in different CI Runner, how can i ensure that two of the infer-out file contents are synchronized? Should I cache the infer-out folder content  or ignore it?",sencho,cristianoc
596,2017-03-06 09:11:51,"@cristianoc Can I use a regular expression to match the file name what I want to analyze?

Well, before that, I have to complete a complete analysis, right? Check if the  `infer-out` directory exists .if it exists, then run  incremental analysis, if not exist run full analysis.",sencho,cristianoc
596,2017-03-06 09:17:23,"@cristianoc ,The third question is that Facebook is using Phabricator to  Code Review, but we are using Gitlab Code Review. When Infer completes the analysis, does the result insert the code into the code's comment to block CI progress?",sencho,cristianoc
596,2017-03-06 09:29:52,"![image](https://cloud.githubusercontent.com/assets/863912/23603825/9bfe6bd2-0291-11e7-9460-0895e3b87e11.png)

@cristianoc I've seen a presentation on the Infer team online, which has a slideshow introducing the process. When Infer analyzes the problematic code, it is commented on the code through the review tool's API. The code reviewer will ask for the development Repair again after submission, and then run an Infer analysis, until these is no problematic code then you can merge the code, right?",sencho,cristianoc
596,2017-03-06 09:41:21,"@cristianoc Could you talk about the time spent and analysis strategy used by Facebook iOS App to give us a reference, when to use incremental analysis, when to use the full analysis in a CI process.I think I will share my practice here for everyone, if I succeed.
",sencho,cristianoc
596,2017-03-06 10:06:28,@cristianoc Thanks a lot for your help!,sencho,cristianoc
596,2017-03-07 07:09:20,"@cristianoc ,only infer capture phase spend 28 minutes for 1800+ files(iOS project) ,it is really unacceptable.If the speed is faster, I can implement in every push, instead of  merge request.How can i save time?",sencho,cristianoc
596,2017-03-07 08:18:42,@cristianoc it takes in 3 minutes without infer,sencho,cristianoc
596,2017-03-07 09:08:12,"@cristianoc ,I follow your suggestion,run step2.

 just one .m file  inside index.txt file what I want to analyze, why infer print out all file's analysis result?
",sencho,cristianoc
596,2017-03-07 13:55:21,"@akotulski 
step1.


step2.

index.txt file just one .m file path 



as above proc_stats.json ,it analyze one file only.",sencho,akotulski
595,2017-03-02 14:24:38,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4642707).",facebook-github-bot,jvillard
595,2017-03-03 14:06:05,"@jvillard this is the faulty PR which says `buildOptions` not `lintOptions`, but until it's merged to master I'm not sure the best way to open a new PR to correct it?

There might be a way but my git knowledge only goes so far :/",3flex,jvillard
594,2017-02-28 19:27:40,Thanks @jvillard ,sagpatil,jvillard
589,2017-03-07 10:57:12,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4666015).",facebook-github-bot,jvillard
586,2017-02-25 07:27:41,"@jeremydubreil  Thanks for looking into it. I just downloaded the openssh source code again and ran infer.  And I got the same error again.

The commands I used are,



I was wondering if I invoked Infer correctly here.",Guoanshisb,jeremydubreil
586,2017-02-26 01:59:22,@jeremydubreil Thanks a lot for your help.,Guoanshisb,jeremydubreil
586,2017-03-02 06:18:37,@jeremydubreil I would like to share some update on my side. I tried to build Infer v0.10.0 on Windows subsystem for Linux and it worked on openssh. I guess that I must have messed up some environment setups in another machine. Do you think the clang version matters?,Guoanshisb,jeremydubreil
586,2017-03-02 17:52:45,"I have faced the same issue while analyzing a project with a large number of Java files.
@jeremydubreil Do you think it has to do with something like some stack-limit getting exceeded due to a long chain of function calls spanning different files?",xennygrimmato,jeremydubreil
586,2017-03-03 10:54:57,">  Infer uses its own version of clang. I may be wrong but the version installed on the system should not matter. @jvillard: is this correct ?

@jeremydubreil correct.

> If I increase the --iterations flag, Infer will probably get more precise, right?

It will spend more time on procedures before giving up. That often translates into more precision but your mileage may vary.

@xennygrimmato size of chains of function calls do not matter thanks to the way the interprocedural analysis is implemented: a caller only knows to read the spec of the callees, it doesn't need to go and look at their code.",jvillard,jeremydubreil
586,2017-03-03 10:54:57,">  Infer uses its own version of clang. I may be wrong but the version installed on the system should not matter. @jvillard: is this correct ?

@jeremydubreil correct.

> If I increase the --iterations flag, Infer will probably get more precise, right?

It will spend more time on procedures before giving up. That often translates into more precision but your mileage may vary.

@xennygrimmato size of chains of function calls do not matter thanks to the way the interprocedural analysis is implemented: a caller only knows to read the spec of the callees, it doesn't need to go and look at their code.",jvillard,xennygrimmato
585,2017-02-27 14:30:42,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4620311).",facebook-github-bot,jvillard
579,2017-02-13 22:50:14,"@jvillard Thanks for your reply. I tried to change the program so that it exits when `malloc` fails as you suggested and got the same result. I was wondering if there is something that I can do to improve the precision.

If it's convenient for you, would you mind taking a look at another example that is a slightly modified version of this one?



Here is the result I got,


Infer catches the NULL pointer deference bug and reports a false positive on memory leak. Moreover, the error trace suggests some loop iterations are abstracted away. I was wondering if it's possible for Infer to show a complete error trace similar to what we would see using gdb.


",Guoanshisb,jvillard
574,2017-02-27 13:18:28,"@xennygrimmato yes, that makes sense.",jvillard,xennygrimmato
572,2017-01-31 19:02:58,"@jvillard Thanks for your reply. It make sense now. May I ask another question about error trace? I noticed that some functions are not stepped into in the error trace even I set the max level to ""max"". I was wondering if the analysis is broken somewhere in these functions.",Guoanshisb,jvillard
572,2017-02-02 20:15:37,"Thanks, @jvillard. It's so nice of you to answer my questions. Just want to confirm this issue:



This is the last part of an error trace I got from executing the command, `inferTraceBugs --select 11 --max-level max`. `*ppDb` is initialized to 0 at the beginning and got deferenced at line 142399 (`#define ENC(db)        ((db)->enc)`). However, `openDatabase` can have side effects of updating `*ppDb` to a non-null pointer and it is not stepped into in this error trace. For this case, I was wondering what happened. Is a summary computed for `openDatabase`?",Guoanshisb,jvillard
572,2017-02-03 18:19:26,"@jvillard There are some specs for this function,


Does it mean the analysis times out on this function?",Guoanshisb,jvillard
570,2017-02-07 11:24:17,"I replicated this today.

This is not a CentOS problem. @jvillard I suspect the root cause is an updated OS package that broke something, as the problem is I cannot get the Docker image to build.

Following commands run today:



Error messages continue as per original issue.",technion,jvillard
570,2017-02-07 22:02:28,"Thanks @jvillard . None of this should matter since it's docker, but just in case:



This is probably not the place to discuss it, but the build does take forever even when it works. I'd be happy to put my hand up to managing a prebuilt image to solve @AppVet 's request if there was interest.",technion,jvillard
570,2017-02-24 03:08:06,"@jvillard I was just going to open a PR for that very issue - the Docker image didn't build for me either, showing the error below. Installing `libffi-dev` at the apt-get install step fixed the build.

",3flex,jvillard
569,2017-01-24 21:27:27,"Thank you @jvillard, that's helpful.",rvantonder,jvillard
562,2017-01-12 02:48:54,"Hey @jeremydubreil thanks for the suggestion I'll do that for now.  My intuition is that Infer does a `==`check on the keys.  This would explain why `float` generated the bug report but `Float` and the hardcoded `1f` doesn't.   i.e. looking just at the keys of the two map.get() calls, these are the three scenarios:





`1f == 1f //true, null check is honored`",cxzhang2,jeremydubreil
559,2017-01-10 18:56:24,"Hi @jeremydubreil yes that's a good point.  My example was contrived; I wanted to keep things simple to make sure I was running the tool correctly.  Probably the right thing to do is to assume usage similar to Guava when annotations from class files are being parsed.  If it's clearly documented, I think that would work well for most cases.  Also, maybe the default should be to behave just as Infer does now (ignoring annotations in class files) to avoid surprises and/or a ton of unwanted false positives.  ",msridhar,jeremydubreil
559,2017-01-10 20:36:23,"@sblackshear, it would actually be easy to load the annotations from the 3rd party library. There is already some support for analyzing the dependencies. For example (changing the example a bit to avoid the issue with `@NonNull` mentioned earlier):


and

We can actually have Eradicate report the issue using the undocumented `--dependencies` options:

The reason why we don't use `--dependencies` by default is to avoid duplication of work when using Buck as the same class. e.g. `java.lang.String` could otherwise be analyzed on many different Buck targets.

The new genrule based approach to integrate Infer with Buck could actually allow use to analyze the third party libraries only once (decorating `prebuilt_jar`) and cache the analysis artifacts, which would contain the annotations as well. cc @kageiit
",jeremydubreil,sblackshear
559,2017-01-13 22:39:58,"@jeremydubreil That sounds like a great idea. As long as infer knows how to extract the analysis artifacts from the `prebuilt_jar` or `prebuilt_android_aar` decorated infer/eradicate genrules, the performance impact will be minimal and the quality of analysis will be a lot greater. Seems like that is the best approach forward.",kageiit,jeremydubreil
554,2017-01-10 16:20:56,"Hi @jvillard , I didn't have much time over the weekend, Let me update my opam (I'll install from the source) and give you a feedback.",chaws,jvillard
554,2017-01-12 17:11:31,"@jvillard , I'm trying to get opam 1.3.0 out of the source () but keep getting this error:


Which seems like a syntax issue. Ocaml is new to me, I'm trying to grasp up some of it thru tutorials, but if you already have a hunch on solving this, that'd be great!",chaws,jvillard
