issue_num,datetime,body,login,mention_login
629,2017-03-21 18:34:22,"This is great, thanks @sblackshear! ",jsachs,sblackshear
628,2017-03-21 07:57:51,"@mohammedsafiq linters operate on the AST produced by a front-end -- currently there's only support for the clang front-end, so no Java.",cristianoc,mohammedsafiq
623,2017-03-20 06:08:06,"@riyaz thanks this is awesome!

A good place for documenting CI integration could be e.g. in the User Guide, in its own section right after `Analyzing apps or projects`.
https://github.com/facebook/infer/blob/gh-pages/_data/nav_docs.yml",cristianoc,riyaz
623,2017-03-20 12:20:40,"@cristianoc Done, sent PR",riyaz,cristianoc
623,2017-03-20 12:46:07,"@riyaz, are you using, or have you considered, some of the functionality available under ""infer -a checkers""?

In particular, there is a new check for classes labelled @ThreadSafe, which looks for concurrency issues. (Not so well documented yet, but it is there.)

Just though I'd ask!",peterogithub,riyaz
623,2017-03-20 16:16:14,"@peterogithub Not yet, now that we have faster build will include more analyzers, thanks for your inputs. ",riyaz,peterogithub
622,2017-03-15 10:12:48,"@Linhao87 thanks for the report!
For the first example, do you get the expected behavior using integers instead of doubles?
",cristianoc,Linhao87
622,2017-03-15 18:20:55,"@cristianoc Yes, I got the expected behavior using integers. The first one looks more like a bug now.",Linhao87,cristianoc
622,2017-03-15 18:27:06,"@Linhao87 yes looks there is a bug in the treatment of non-integer constants.
",cristianoc,Linhao87
621,2017-03-19 13:33:26,"@jvillard, I have formatted my desc and comment, hope it will help make more sense. :-)

> AndroidJD-Lib/src/com/jingdong/common/entity/FilterBrand.java:170: error: NULL_DEREFERENCE
  object jsonArray last assigned on line 169 could be null and is dereferenced by call to getAlphabetList(...) at line 170


And getAlphabetList is defined as below
",carozuoP,jvillard
621,2017-03-20 17:50:55,@carozuoP I mean the output of `inferTraceBugs --max-level max` when you select the bug where infer seems to be wrong. `inferTraceBugs` is an executable that ships with infer.,jvillard,carozuoP
620,2017-03-14 09:47:05,"@cristianoc 
After excuting the following command, still the index.txt file is empty. 

`cat ./index.txt
app/src/main/java/infer/inferandroidexample/MainActivity.java`

But index.txt should include the file path right?",mohammedsafiq,cristianoc
620,2017-03-16 11:10:26,"@mohammedsafiq In order to analyze a file, infer has to analyze all the procedures called from that file. So if some of these procedures live in different files then they are also analyzed. That doesn't mean that all the procedures in these files were analyzed, only the ones called (transitively!) from the original file.",jvillard,mohammedsafiq
614,2017-03-09 08:37:31,Thanks @mohammedsafiq!,jvillard,mohammedsafiq
612,2017-03-09 10:00:20,"Hi @mohammedsafiq,

Other tools use `@SuppressWarnings` annotations, so they won't make infer crash but infer will ignore them. In particular, infer may report on methods annotated with `@SuppressWarnings(""infer"")`.",jvillard,mohammedsafiq
610,2017-03-08 10:33:41,"Hi @shreyasmrs, these warnings are harmless. Clang takes a while to build (30 minutes to an hour).",jvillard,shreyasmrs
610,2017-03-13 12:07:49,"Unfortunately I gave the wrong command and so we don't get stderr in the logs (need to redirect stderr to stdout *after* redirecting stdout to the log file)...

@shreyasmrs if you still have the energy, could you try this instead?


Thanks!",jvillard,shreyasmrs
610,2017-03-14 10:42:44,@shreyasmrs looks like there's a problem with your paste; could you send again?,jvillard,shreyasmrs
610,2017-03-14 10:43:23,"@shreyasmrs ah, if I remove .js at the end of the URL it works correctly: https://gist.github.com/shreyasmrs/df21aa807ca0b4e674d1c30d62be4033",jvillard,shreyasmrs
610,2017-03-15 15:39:43,Thanks for your patient reporting @shreyasmrs! Please re-open this issue if the current master still doesn't build clang for you.,jvillard,shreyasmrs
610,2017-03-16 11:04:45,"@shreyasmrs yes that's one way. You can also run `make install` to install infer in /usr/local/bin, or use `./configure --prefix=/usr` to install in /usr/bin (more installation options are available, see `./configure --help`).",jvillard,shreyasmrs
610,2017-03-21 09:38:15,"Hi, @jvillard I tried with the new commit as well. I'm still facing the same issue for building the clang. Any suggestions on this please",shreyasmrs,jvillard
610,2017-03-21 14:56:00,"Hi @shreyasmrs, could you paste again the result of this command? Thanks!
",jvillard,shreyasmrs
608,2017-03-08 05:47:00,"I was inside examples folder(tried ""infer -- javac Hello.java"") and this issue happened and now I came out of examples folder(tried ""infer -- javac examples/Hello.java"") its working fine.

Thanks @jvillard ",shreyasmrs,jvillard
600,2017-03-05 21:33:01,"@RomanWuattier thanks for the report!.
This use of reactive mode was recently broken by mistake -- fix coming soon.
",cristianoc,RomanWuattier
598,2017-03-02 14:30:57,Thanks @benhuds :),jvillard,benhuds
597,2017-03-23 18:26:19,@jvillard are there plans to cut a new Infer release? I'll update the PR as soon as that happens.,3flex,jvillard
596,2017-03-06 08:27:03,"@sencho is your build incremental, or does CI compile everything every time it runs?
",cristianoc,sencho
596,2017-03-06 08:40:13,"@cristianoc ,I have another question if the two builds are in different CI Runner, how can i ensure that two of the infer-out file contents are synchronized? Should I cache the infer-out folder content  or ignore it?",sencho,cristianoc
596,2017-03-06 08:50:07,"@sencho since CI builds all the files every time, each CI Runner should have its own `infer-out`, so no synchronization. Unless I am missing some specific use you have in mind.",cristianoc,sencho
596,2017-03-06 09:11:51,"@cristianoc Can I use a regular expression to match the file name what I want to analyze?

Well, before that, I have to complete a complete analysis, right? Check if the  `infer-out` directory exists .if it exists, then run  incremental analysis, if not exist run full analysis.",sencho,cristianoc
596,2017-03-06 09:16:45,"@sencho `index.txt` must be an explicit list of files. You can use a regular expression in a script that generates `index.txt`.

With the process I've described above in points `1.` and `2.` there's no need to run a previous analysis: each analysis will be completely separate.

But, notice that step `1.`, the capture, must run on all the files, every time.
",cristianoc,sencho
596,2017-03-06 09:17:23,"@cristianoc ,The third question is that Facebook is using Phabricator to  Code Review, but we are using Gitlab Code Review. When Infer completes the analysis, does the result insert the code into the code's comment to block CI progress?",sencho,cristianoc
596,2017-03-06 09:29:52,"![image](https://cloud.githubusercontent.com/assets/863912/23603825/9bfe6bd2-0291-11e7-9460-0895e3b87e11.png)

@cristianoc I've seen a presentation on the Infer team online, which has a slideshow introducing the process. When Infer analyzes the problematic code, it is commented on the code through the review tool's API. The code reviewer will ask for the development Repair again after submission, and then run an Infer analysis, until these is no problematic code then you can merge the code, right?",sencho,cristianoc
596,2017-03-06 09:41:21,"@cristianoc Could you talk about the time spent and analysis strategy used by Facebook iOS App to give us a reference, when to use incremental analysis, when to use the full analysis in a CI process.I think I will share my practice here for everyone, if I succeed.
",sencho,cristianoc
596,2017-03-06 09:43:59,"@sencho CI on iOS uses always incremental analysis, by giving the list of files that are modified in the current commit (step 2).

edited: added `modified`
",cristianoc,sencho
596,2017-03-06 10:06:28,@cristianoc Thanks a lot for your help!,sencho,cristianoc
596,2017-03-06 10:09:15,"@sencho looking forward to hear about your experience. If all works well, a great outcome would be a short guide to help others with CI integration.",cristianoc,sencho
596,2017-03-07 07:09:20,"@cristianoc ,only infer capture phase spend 28 minutes for 1800+ files(iOS project) ,it is really unacceptable.If the speed is faster, I can implement in every push, instead of  merge request.How can i save time?",sencho,cristianoc
596,2017-03-07 07:48:39,"@sencho if you run the same build command, but without Infer, how long does it take?
",cristianoc,sencho
596,2017-03-07 08:18:42,@cristianoc it takes in 3 minutes without infer,sencho,cristianoc
596,2017-03-07 09:08:12,"@cristianoc ,I follow your suggestion,run step2.

 just one .m file  inside index.txt file what I want to analyze, why infer print out all file's analysis result?
",sencho,cristianoc
596,2017-03-07 12:27:00,"@sencho that's an unusual slowdown -- something in the range of 2X is to be expected, but not from 3 to 28 minutes. You're referring to step 1, i.e. the capture command only, correct?

For your question on step 2, Infer analyzes all the functions called from the .m file you are providing. My guess is that's what you're observing. As a simple check: if `index.txt` is empty, then nothing will be analyzed.
",cristianoc,sencho
596,2017-03-07 13:55:21,"@akotulski 
step1.


step2.

index.txt file just one .m file path 



as above proc_stats.json ,it analyze one file only.",sencho,akotulski
595,2017-03-02 14:24:38,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4642707).",facebook-github-bot,jvillard
595,2017-03-03 14:06:05,"@jvillard this is the faulty PR which says `buildOptions` not `lintOptions`, but until it's merged to master I'm not sure the best way to open a new PR to correct it?

There might be a way but my git knowledge only goes so far :/",3flex,jvillard
594,2017-02-28 09:30:55,"Hi @sagpatil, we do not put `InferPrint` in the PATH because it's internal to `infer`, but it's still available. You should be able to find it with `$(dirname $(realpath $(which infer)))/InferPrint`, or directly with `/usr/local/Cellar/infer/0.10.0/lib/infer/infer/bin/InferPrint`.",jvillard,sagpatil
594,2017-02-28 19:27:40,Thanks @jvillard ,sagpatil,jvillard
589,2017-03-07 10:57:12,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4666015).",facebook-github-bot,jvillard
586,2017-02-24 18:02:35,"Hi @Guoanshisb,

Thanks for reporting this. 

Can you check if you get the same error with the latest release v0.10.0 ?",jeremydubreil,Guoanshisb
586,2017-02-25 07:27:41,"@jeremydubreil  Thanks for looking into it. I just downloaded the openssh source code again and ran infer.  And I got the same error again.

The commands I used are,



I was wondering if I invoked Infer correctly here.",Guoanshisb,jeremydubreil
586,2017-02-26 01:59:22,@jeremydubreil Thanks a lot for your help.,Guoanshisb,jeremydubreil
586,2017-03-02 06:18:37,@jeremydubreil I would like to share some update on my side. I tried to build Infer v0.10.0 on Windows subsystem for Linux and it worked on openssh. I guess that I must have messed up some environment setups in another machine. Do you think the clang version matters?,Guoanshisb,jeremydubreil
586,2017-03-02 17:52:45,"I have faced the same issue while analyzing a project with a large number of Java files.
@jeremydubreil Do you think it has to do with something like some stack-limit getting exceeded due to a long chain of function calls spanning different files?",xennygrimmato,jeremydubreil
586,2017-03-03 10:54:57,">  Infer uses its own version of clang. I may be wrong but the version installed on the system should not matter. @jvillard: is this correct ?

@jeremydubreil correct.

> If I increase the --iterations flag, Infer will probably get more precise, right?

It will spend more time on procedures before giving up. That often translates into more precision but your mileage may vary.

@xennygrimmato size of chains of function calls do not matter thanks to the way the interprocedural analysis is implemented: a caller only knows to read the spec of the callees, it doesn't need to go and look at their code.",jvillard,jeremydubreil
586,2017-03-03 10:54:57,">  Infer uses its own version of clang. I may be wrong but the version installed on the system should not matter. @jvillard: is this correct ?

@jeremydubreil correct.

> If I increase the --iterations flag, Infer will probably get more precise, right?

It will spend more time on procedures before giving up. That often translates into more precision but your mileage may vary.

@xennygrimmato size of chains of function calls do not matter thanks to the way the interprocedural analysis is implemented: a caller only knows to read the spec of the callees, it doesn't need to go and look at their code.",jvillard,xennygrimmato
585,2017-02-27 14:30:42,"@jvillard has imported this pull request.  If you are a Facebook employee, you can view this diff [on Phabricator](https://phabricator.intern.facebook.com/D4620311).",facebook-github-bot,jvillard
584,2017-02-23 10:00:10,"Hi @medduk9871, this is an internal infer error. Does the analysis carry through after that? If so you don't need to worry about it.

We can look into fixing it in infer though, thanks for the report.",jvillard,medduk9871
584,2017-03-08 06:45:59,"Hi @vavrusa ,
Did you run the buffer overrun checker? What kind of options did you use? 
And please provide more detailed information about the error such as your environment, options, or minimal crashing examples. ",KihongHeo,vavrusa
584,2017-03-09 03:34:08,"Thanks @vavrusa. Now I figured out the problem. I will submit the patch today. 

Thanks for your help. ",KihongHeo,vavrusa
579,2017-02-13 22:50:14,"@jvillard Thanks for your reply. I tried to change the program so that it exits when `malloc` fails as you suggested and got the same result. I was wondering if there is something that I can do to improve the precision.

If it's convenient for you, would you mind taking a look at another example that is a slightly modified version of this one?



Here is the result I got,


Infer catches the NULL pointer deference bug and reports a false positive on memory leak. Moreover, the error trace suggests some loop iterations are abstracted away. I was wondering if it's possible for Infer to show a complete error trace similar to what we would see using gdb.


",Guoanshisb,jvillard
574,2017-02-27 13:18:28,"@xennygrimmato yes, that makes sense.",jvillard,xennygrimmato
573,2017-02-02 09:12:42,"Hi @mohammedsafiq, Eradicate works pretty much like a type checker, where a value annotated @Nullable is considered as always being potentially null, so local checks for null are required.
In particular, Eradicate does not try to understand the flow of values in a method call, such as `notEmpty(name)`. Another way to look at this: it only considers information at method boundaries, so it will give the same result for any implementation of `notEmpty`, including the one which always returns `true`.
",cristianoc,mohammedsafiq
572,2017-01-31 19:02:58,"@jvillard Thanks for your reply. It make sense now. May I ask another question about error trace? I noticed that some functions are not stepped into in the error trace even I set the max level to ""max"". I was wondering if the analysis is broken somewhere in these functions.",Guoanshisb,jvillard
572,2017-02-02 15:24:07,"@Guoanshisb this can happen when infer failed to analyse a function for some reason. Possible reasons include infer getting confused when trying to understand the code, or the function taking too long to analyse.

It could be useful to include that kind of info in the trace too in the future.",jvillard,Guoanshisb
572,2017-02-02 20:15:37,"Thanks, @jvillard. It's so nice of you to answer my questions. Just want to confirm this issue:



This is the last part of an error trace I got from executing the command, `inferTraceBugs --select 11 --max-level max`. `*ppDb` is initialized to 0 at the beginning and got deferenced at line 142399 (`#define ENC(db)        ((db)->enc)`). However, `openDatabase` can have side effects of updating `*ppDb` to a non-null pointer and it is not stepped into in this error trace. For this case, I was wondering what happened. Is a summary computed for `openDatabase`?",Guoanshisb,jvillard
572,2017-02-03 01:23:10,"@Guoanshisb you can look at the specs in infer-out/specs/ and see if you see one for `openDatabase()`. It should look like `openDatabase.<some hash>.specs`. `InferPrint` knows how to read .specs files if you pass them on the command line (depending on how you installed infer, you may not have it in your `PATH` though, but it's always at `$(dirname $(realpath $(which infer)))/InferPrint`).",jvillard,Guoanshisb
